product_id,name,description,price,stock_quantity,created_at,updated_at
29,Product 29,Description for Product 29,299.99,1500,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
30,Product 30,Description for Product 30,309.99,1550,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
31,Product 31,Description for Product 31,319.99,1600,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
32,Product 32,Description for Product 32,329.99,1650,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
33,Product 33,Description for Product 33,339.99,1700,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
34,Product 34,Description for Product 34,349.99,1750,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
35,Product 35,Description for Product 35,359.99,1800,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
36,Product 36,Description for Product 36,369.99,1850,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
37,Product 37,Description for Product 37,379.99,1900,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
38,Product 38,Description for Product 38,389.99,1950,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
39,Product 39,Description for Product 39,399.99,2000,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
40,Product 40,Description for Product 40,409.99,2050,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
41,Product 41,Description for Product 41,419.99,2100,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
42,Product 42,Description for Product 42,429.99,2150,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
43,Product 43,Description for Product 43,439.99,2200,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
44,Product 44,Description for Product 44,449.99,2250,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
45,Product 45,Description for Product 45,459.99,2300,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
46,Product 46,Description for Product 46,469.99,2350,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
47,Product 47,Description for Product 47,479.99,2400,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
48,Product 48,Description for Product 48,489.99,2450,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
49,Product 49,Description for Product 49,499.99,2500,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
50,Product 50,Description for Product 50,509.99,2550,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
51,Product 51,Description for Product 51,519.99,2600,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
52,Product 52,Description for Product 52,529.99,2650,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
53,Product 53,Description for Product 53,539.99,2700,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
54,Product 54,Description for Product 54,549.99,2750,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
55,Product 55,Description for Product 55,559.99,2800,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
56,Product 56,Description for Product 56,569.99,2850,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
57,Product 57,Description for Product 57,579.99,2900,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
58,Product 58,Description for Product 58,589.99,2950,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
59,Product 59,Description for Product 59,599.99,3000,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
60,Product 60,Description for Product 60,609.99,3050,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
61,Product 61,Description for Product 61,619.99,3100,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
62,Product 62,Description for Product 62,629.99,3150,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
63,Product 63,Description for Product 63,639.99,3200,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
64,Product 64,Description for Product 64,649.99,3250,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
65,Product 65,Description for Product 65,659.99,3300,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
66,Product 66,Description for Product 66,669.99,3350,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
67,Product 67,Description for Product 67,679.99,3400,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
68,Product 68,Description for Product 68,689.99,3450,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
69,Product 69,Description for Product 69,699.99,3500,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
70,Product 70,Description for Product 70,709.99,3550,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
71,Product 71,Description for Product 71,719.99,3600,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
72,Product 72,Description for Product 72,729.99,3650,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
73,Product 73,Description for Product 73,739.99,3700,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
74,Product 74,Description for Product 74,749.99,3750,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
75,Product 75,Description for Product 75,759.99,3800,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
76,Product 76,Description for Product 76,769.99,3850,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
77,Product 77,Description for Product 77,779.99,3900,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
78,Product 78,Description for Product 78,789.99,3950,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
79,Product 79,Description for Product 79,799.99,4000,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
80,Product 80,Description for Product 80,809.99,4050,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
81,Product 81,Description for Product 81,819.99,4100,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
82,Product 82,Description for Product 82,829.99,4150,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
83,Product 83,Description for Product 83,839.99,4200,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
84,Product 84,Description for Product 84,849.99,4250,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
85,Product 85,Description for Product 85,859.99,4300,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
86,Product 86,Description for Product 86,869.99,4350,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
87,Product 87,Description for Product 87,879.99,4400,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
88,Product 88,Description for Product 88,889.99,4450,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
89,Product 89,Description for Product 89,899.99,4500,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
90,Product 90,Description for Product 90,909.99,4550,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
91,Product 91,Description for Product 91,919.99,4600,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
92,Product 92,Description for Product 92,929.99,4650,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
93,Product 93,Description for Product 93,939.99,4700,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
94,Product 94,Description for Product 94,949.99,4750,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
95,Product 95,Description for Product 95,959.99,4800,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
96,Product 96,Description for Product 96,969.99,4850,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
97,Product 97,Description for Product 97,979.99,4900,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
98,Product 98,Description for Product 98,989.99,4950,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
99,Product 99,Description for Product 99,999.99,5000,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
100,Product 100,Description for Product 100,1009.99,5050,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
101,Product 101,Description for Product 101,1019.99,5100,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
102,Product 102,Description for Product 102,1029.99,5150,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
103,Product 103,Description for Product 103,1039.99,5200,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
104,Product 104,Description for Product 104,1049.99,5250,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
105,Product 105,Description for Product 105,1059.99,5300,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
106,Product 106,Description for Product 106,1069.99,5350,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
107,Product 107,Description for Product 107,1079.99,5400,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
108,Product 108,Description for Product 108,1089.99,5450,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
109,Product 109,Description for Product 109,1099.99,5500,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
110,Product 110,Description for Product 110,1109.99,5550,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
111,Product 111,Description for Product 111,1119.99,5600,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
112,Product 112,Description for Product 112,1129.99,5650,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
113,Product 113,Description for Product 113,1139.99,5700,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
114,Product 114,Description for Product 114,1149.99,5750,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
115,Product 115,Description for Product 115,1159.99,5800,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
116,Product 116,Description for Product 116,1169.99,5850,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
117,Product 117,Description for Product 117,1179.99,5900,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
118,Product 118,Description for Product 118,1189.99,5950,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
119,Product 119,Description for Product 119,1199.99,6000,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
120,Product 120,Description for Product 120,1209.99,6050,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
121,Product 121,Description for Product 121,1219.99,6100,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
122,Product 122,Description for Product 122,1229.99,6150,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
123,Product 123,Description for Product 123,1239.99,6200,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
124,Product 124,Description for Product 124,1249.99,6250,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
125,Product 125,Description for Product 125,1259.99,6300,2025-02-12 17:01:53.61548,2025-02-12 17:01:53.61548
