transaction_id,user_id,product_id,quantity,total_amount,transaction_date,status
51,51,51,6,1109.94,2025-02-12 17:02:07.107082,completed
52,52,52,7,1379.93,2025-02-12 17:02:07.107082,pending
53,53,53,3,179.97,2025-02-12 17:02:07.107082,completed
54,54,54,2,139.98,2025-02-12 17:02:07.107082,completed
55,55,55,1,129.99,2025-02-12 17:02:07.107082,completed
56,56,56,6,1019.94,2025-02-12 17:02:07.107082,pending
57,57,57,4,499.96,2025-02-12 17:02:07.107082,completed
58,58,58,5,1249.95,2025-02-12 17:02:07.107082,completed
59,59,59,3,539.97,2025-02-12 17:02:07.107082,completed
60,60,60,2,139.98,2025-02-12 17:02:07.107082,completed
61,61,61,4,639.96,2025-02-12 17:02:07.107082,pending
62,62,62,6,1109.94,2025-02-12 17:02:07.107082,completed
63,63,63,5,1399.95,2025-02-12 17:02:07.107082,completed
64,64,64,7,1389.93,2025-02-12 17:02:07.107082,failed
65,65,65,1,199.99,2025-02-12 17:02:07.107082,completed
66,66,66,3,239.97,2025-02-12 17:02:07.107082,completed
67,67,67,2,139.98,2025-02-12 17:02:07.107082,completed
68,68,68,4,499.96,2025-02-12 17:02:07.107082,failed
69,69,69,6,1049.94,2025-02-12 17:02:07.107082,completed
70,70,70,3,239.97,2025-02-12 17:02:07.107082,completed
71,71,71,5,1249.95,2025-02-12 17:02:07.107082,completed
72,72,72,7,1379.93,2025-02-12 17:02:07.107082,pending
73,73,73,2,179.98,2025-02-12 17:02:07.107082,completed
74,74,74,5,1249.95,2025-02-12 17:02:07.107082,completed
75,75,75,1,159.99,2025-02-12 17:02:07.107082,completed
76,76,76,3,239.97,2025-02-12 17:02:07.107082,completed
77,77,77,6,1109.94,2025-02-12 17:02:07.107082,completed
78,78,78,4,499.96,2025-02-12 17:02:07.107082,failed
79,79,79,5,1249.95,2025-02-12 17:02:07.107082,completed
80,80,80,7,1379.93,2025-02-12 17:02:07.107082,completed
81,81,81,3,239.97,2025-02-12 17:02:07.107082,pending
82,82,82,2,139.98,2025-02-12 17:02:07.107082,completed
83,83,83,4,639.96,2025-02-12 17:02:07.107082,failed
84,84,84,5,1249.95,2025-02-12 17:02:07.107082,completed
85,85,85,1,129.99,2025-02-12 17:02:07.107082,completed
86,86,86,7,1379.93,2025-02-12 17:02:07.107082,failed
87,87,87,4,499.96,2025-02-12 17:02:07.107082,completed
88,88,88,3,239.97,2025-02-12 17:02:07.107082,completed
89,89,89,2,139.98,2025-02-12 17:02:07.107082,pending
90,90,90,1,119.99,2025-02-12 17:02:07.107082,completed
91,91,91,6,1109.94,2025-02-12 17:02:07.107082,completed
92,92,92,5,1249.95,2025-02-12 17:02:07.107082,completed
93,93,93,4,499.96,2025-02-12 17:02:07.107082,completed
94,94,94,3,239.97,2025-02-12 17:02:07.107082,completed
95,95,95,6,1119.94,2025-02-12 17:02:07.107082,completed
96,96,96,7,1389.93,2025-02-12 17:02:07.107082,completed
97,97,97,5,1249.95,2025-02-12 17:02:07.107082,failed
98,98,98,4,599.96,2025-02-12 17:02:07.107082,completed
99,99,99,3,239.97,2025-02-12 17:02:07.107082,completed
100,100,100,2,139.98,2025-02-12 17:02:07.107082,pending
101,101,101,4,499.96,2025-02-12 17:02:07.107082,completed
102,102,102,7,1379.93,2025-02-12 17:02:07.107082,completed
103,103,103,3,239.97,2025-02-12 17:02:07.107082,pending
104,104,104,6,1109.94,2025-02-12 17:02:07.107082,completed
105,105,105,5,1249.95,2025-02-12 17:02:07.107082,completed
106,106,106,4,499.96,2025-02-12 17:02:07.107082,completed
107,107,107,2,139.98,2025-02-12 17:02:07.107082,completed
108,108,108,7,1379.93,2025-02-12 17:02:07.107082,failed
109,109,109,5,1249.95,2025-02-12 17:02:07.107082,completed
110,110,110,6,1109.94,2025-02-12 17:02:07.107082,completed
111,111,111,4,499.96,2025-02-12 17:02:07.107082,completed
112,112,112,3,239.97,2025-02-12 17:02:07.107082,completed
113,113,113,5,1249.95,2025-02-12 17:02:07.107082,completed
114,114,114,2,139.98,2025-02-12 17:02:07.107082,completed
115,115,115,4,499.96,2025-02-12 17:02:07.107082,completed
116,116,116,7,1379.93,2025-02-12 17:02:07.107082,completed
117,117,117,6,1109.94,2025-02-12 17:02:07.107082,completed
118,118,118,3,239.97,2025-02-12 17:02:07.107082,completed
119,119,119,4,499.96,2025-02-12 17:02:07.107082,completed
120,120,120,7,1379.93,2025-02-12 17:02:07.107082,completed
121,121,121,5,1249.95,2025-02-12 17:02:07.107082,completed
122,122,122,4,499.96,2025-02-12 17:02:07.107082,failed
